Bagalakote,35538,34866,333
Ballari,100091,96206,1689
Belagavi,82450,79348,949
Bengaluru Rural,65166,61531,895
Bengaluru Urban,1416807,1254153,16453
Bidar,25184,24045,404
Chamarajanagara,33926,32672,504
Chikkaballapura,45393,43641,435
Chikkamagaluru,52389,51215,398
Chitradurga,37580,36614,212
Dakshina Kannada,121757,116038,1701
Davanagere,51998,50527,608
Dharwada,64537,60734,1325
Gadag,26637,25814,319
Hassana,116844,111557,1264
Haveri,22107,21326,643
Kalaburagi,64301,61614,827
Kodagu,38535,37480,338
Kolara,49845,46889,644
Koppala,35548,34716,528
Mandya,77976,74439,659
Mysuru,186844,178806,2435
Raichuru,40680,39677,333
Ramanagara,25212,23974,325
Shivamogga,71629,68713,1090
Tumakuru,126887,120385,1145
Udupi,81093,77210,491
Uttara Kannada,58540,56122,779
Vijayapura,36887,35953,496
Yadagiri,27670,27347,206
Others,36,33,3
