Alipurduar,15878,15707,102
Coochbehar,30135,29861,99
Darjeeling,59441,58191,555
Kalimpong,7231,7134,55
Jalpaiguri,43262,42303,595
Uttar Dinajpur,20581,20017,242
Dakshin Dinajpur,19001,18610,177
Malda,35164,34075,188
Murshidabad,35339,34229,332
Nadia,76935,74659,903
Birbhum,44910,42666,301
Purulia,20386,19619,114
Bankura,37817,36977,276
Jhargram,12740,12437,27
Paschim Medinipur,55736,54315,514
Purba Medinipur,64293,63414,404
Purba Bardhaman,44783,43109,210
Paschim Bardhaman,63934,60336,368
Howrah,109721,103150,1561
Hooghly,93541,89772,1047
North 24 Parganas,352725,337100,5048
South 24 Parganas,108661,104339,1408
Kolkata,378479,346738,5354
Other State,66,63,3
